sentence_id,rater_id,sentence,direction,modifier_category,tone_label,distance_cm,x_m,y_m,amplitude,radius
s0001,rater_1,"hey, can you pull the grip left please.",left,no_modifier,neutral,15.0,-0.14960135183933423,-0.010778844144934852,8.400842153295788,12.146590937299623
s0001,rater_2,"hey, can you pull the grip left please.",left,no_modifier,neutral,15.0,-0.14337954469835645,0.01648131320649504,11.992711119550691,9.180283279897333
s0001,rater_3,"hey, can you pull the grip left please.",left,no_modifier,neutral,15.0,-0.1347975325528703,0.00994225568268807,12.241007241827443,11.7315023742508
s0002,rater_1,"so, please move the handle ahead-right softly relative to where it is now right now please.",forward right,no_modifier,gentle,15.0,0.11558478224138563,0.10718785075986101,7.75123881797377,14.083929616503028
s0002,rater_2,"so, please move the handle ahead-right softly relative to where it is now right now please.",forward right,no_modifier,gentle,15.0,0.08228001324445611,0.09958160992793666,13.51838783476656,9.661896630616296
s0002,rater_3,"so, please move the handle ahead-right softly relative to where it is now right now please.",forward right,no_modifier,gentle,15.0,0.10170555801865006,0.10297297640703626,9.059267533235099,11.201397566883495
s0003,rater_1,"alright, I want you to pull it to the right a standard amount for me.",right,no_modifier,neutral,15.0,0.1547836966215393,-0.01137190081400871,10.877147576347593,12.925718538719263
s0003,rater_2,"alright, I want you to pull it to the right a standard amount for me.",right,no_modifier,neutral,15.0,0.12529779260361357,-0.011759796825100416,10.913071676930436,7.534972883201423
s0003,rater_3,"alright, I want you to pull it to the right a standard amount for me.",right,no_modifier,neutral,15.0,0.14271015430291156,0.010820764718575506,10.494560876913694,10.459045733108796
s0004,rater_1,please shift the handle by a fair amount ahead decisively from the current spot,forward,moderately,harsh,10.0,0.008523584112012688,0.08946493442572448,8.486217069493815,14.331034200911615
s0004,rater_2,please shift the handle by a fair amount ahead decisively from the current spot,forward,moderately,harsh,10.0,-0.008538251626705427,0.11441217005923685,13.056363447302619,7.158431671486529
s0004,rater_3,please shift the handle by a fair amount ahead decisively from the current spot,forward,moderately,harsh,10.0,-0.004019562882088821,0.10138376929903851,10.06041202217098,9.466971128765627
s0005,rater_1,"hey, I want you to move the bar toward the front some strongly.",forward,moderately,harsh,10.0,-0.007397953448765166,0.09407142340248648,8.758754797884157,10.47358820541427
s0005,rater_2,"hey, I want you to move the bar toward the front some strongly.",forward,moderately,harsh,10.0,-0.005274034387094775,0.09868737849002589,10.330346893099739,8.719380389707675
s0005,rater_3,"hey, I want you to move the bar toward the front some strongly.",forward,moderately,harsh,10.0,0.008184256981537425,0.10806087525455649,11.48680148423998,9.238764793205878
s0006,rater_1,I'd like you to adjust it over left quite a bit for me.,left,a_lot,neutral,20.0,-0.19746855415614578,-0.007610008873794402,10.672830068928326,12.851082238922169
s0006,rater_2,I'd like you to adjust it over left quite a bit for me.,left,a_lot,neutral,20.0,-0.19990166367317844,-0.0009624916716990806,17.93456601643134,8.716605983952448
s0006,rater_3,I'd like you to adjust it over left quite a bit for me.,left,a_lot,neutral,20.0,-0.1939403201807919,0.0027255784040418197,16.29926637519276,11.112208470512625
s0007,rater_1,"okay, can you pull this handle left, now for me.",left,no_modifier,neutral,15.0,-0.14443270846706932,-0.00647214909052518,11.551691747864162,13.69549266690983
s0007,rater_2,"okay, can you pull this handle left, now for me.",left,no_modifier,neutral,15.0,-0.1550771299394964,0.006705009213624391,11.150674245009103,8.052979469248408
s0007,rater_3,"okay, can you pull this handle left, now for me.",left,no_modifier,neutral,15.0,-0.15867949790620803,0.013763330201449098,10.585361965353579,10.184203897092019
s0008,rater_1,can you shift it quite a bit back aggressively from its current position if possible.,back,a_lot,harsh,20.0,0.0008590024421319736,-0.2034216212399692,16.471428493066224,9.604995189970987
